[5, 7]
[11, 13]
[17, 19]
[41, 43]
[59, 61]
[137, 139]
[149, 151]
[179, 181]
[191, 193]
[197, 199]
[227, 229]
[269, 271]
[347, 349]
[419, 421]
[431, 433]
[461, 463]
[599, 601]
[617, 619]
[1019, 1021]
[1031, 1033]
[1229, 1231]
[1289, 1291]
[1319, 1321]
[1427, 1429]
[1607, 1609]
[1697, 1699]
[1787, 1789]
[2027, 2029]
[2081, 2083]
[2087, 2089]
[2141, 2143]
[2309, 2311]
[2381, 2383]
[2549, 2551]
[2591, 2593]
[2711, 2713]
[2789, 2791]
[3299, 3301]
[3329, 3331]
[3359, 3361]
[3371, 3373]
[3389, 3391]
[3539, 3541]
[3581, 3583]
[3929, 3931]
[4001, 4003]
[4019, 4021]
[4091, 4093]
[4127, 4129]
[4217, 4219]
[4229, 4231]
[4241, 4243]
[4421, 4423]
[4517, 4519]
[4637, 4639]
[4787, 4789]
[5009, 5011]
[5021, 5023]
[5099, 5101]
[5231, 5233]
[5417, 5419]
[5441, 5443]
[5477, 5479]
[5519, 5521]
[5651, 5653]
[5657, 5659]
[5741, 5743]
[6131, 6133]
[6197, 6199]
[6269, 6271]
[6299, 6301]
[6449, 6451]
[6569, 6571]
[6947, 6949]
[6959, 6961]
[7127, 7129]
[7211, 7213]
[7307, 7309]
[7547, 7549]
[7559, 7561]
[7877, 7879]
[8837, 8839]
[8969, 8971]
[8999, 9001]
[9041, 9043]
[9239, 9241]
[9281, 9283]
[9419, 9421]
[9431, 9433]
[9437, 9439]
[9461, 9463]
[9629, 9631]
[10067, 10069]
[10301, 10303]
[10331, 10333]
[10427, 10429]
[10457, 10459]
[10529, 10531]
[10709, 10711]
[11057, 11059]
[11069, 11071]
[11117, 11119]
[11159, 11161]
[11171, 11173]
[11351, 11353]
[11489, 11491]
[11549, 11551]
[11831, 11833]
[11939, 11941]
[11969, 11971]
[12071, 12073]
[12107, 12109]
[12377, 12379]
[12539, 12541]
[13217, 13219]
[13679, 13681]
[13709, 13711]
[13721, 13723]
[13757, 13759]
[13877, 13879]
[13931, 13933]
[13997, 13999]
[14009, 14011]
[14321, 14323]
[14387, 14389]
[14561, 14563]
[14591, 14593]
[14867, 14869]
[15287, 15289]
[15329, 15331]
[15581, 15583]
[15641, 15643]
[15647, 15649]
[15731, 15733]
[15737, 15739]
[15887, 15889]
[16061, 16063]
[16067, 16069]
[16187, 16189]
[16361, 16363]
[16451, 16453]
[16631, 16633]
[16649, 16651]
[16901, 16903]
[16979, 16981]
[17027, 17029]
